Draw Date	Numbers As Drawn	Numbers In Order	PB	PP	Jackpot
09-11-2023,	53--27--25--66--9	9--25--27--53--66	5	2	$522.00 Million
09-09-2023,	29--19--11--63--68	11--19--29--63--68	25	2	$500.00 Million
09-06-2023,	20--23--9--14--63	9--14--20--23--63	1	3	$461.00 Million
09-04-2023,	51--1--32--46--26	1--26--32--46--51	13	3	$435.00 Million
09-02-2023,	38--67--25--66--42	25--38--42--66--67	19	4	$420.00 Million
08-30-2023,	35--69--61--13--4	4--13--35--61--69	4	2	$386.00 Million
08-28-2023,	55--6--25--68--4	4--6--25--55--68	26	2	$363.00 Million
08-26-2023,	26--20--63--22--28	20--22--26--28--63	5	3	$345.00 Million
08-23-2023,	33--30--32--25--55	25--30--32--33--55	20	2	$313.00 Million
08-21-2023,	3--4--28--12--22	3--4--12--22--28	16	2	$291.00 Million
08-19-2023,	27--38--1--62--25	1--25--27--38--62	13	2	$264.00 Million
08-16-2023,	55--9--11--19--17	9--11--17--19--55	1	2	$236.00 Million
08-14-2023,	37--34--47--39--32	32--34--37--39--47	3	2	$215.00 Million
